Query,Clicks,Impressions,CTR,Position
ahamo 大盛り 解約,0,1,0,50.0
ahamo大盛り 解約,0,1,0,48.0
ahamo大盛り解約,0,1,0,49.0
esim 入れ替え,0,1,0,88.0
esim 機種変更,0,2,0,80.5
iij esim 設定,0,1,0,69.0
iij 遅い 最近,0,1,0,74.0
iijmio esimに変更,0,1,0,70.0
iijmio ひかり 遅い,0,1,0,64.0
iijmio スピード,0,1,0,85.0
iijmio 繋がらない,0,5,0,67.0
iijmio 遅すぎる,0,1,0,80.0
iijmio 開通手続き,0,1,0,90.0
linemo 遅い,0,1,0,36.0
mineo esim,0,1,0,44.0
mineo ソフトバンク回線 遅い,0,1,0,82.0
mineo 遅い,0,12,0,44.8
nuro 光 キャンペーン 比較,0,1,0,85.0
nuro 光 マンション,0,2,0,99.5
nuro 光 解約,0,1,0,95.0
nuro 光 解約 タイミング,0,1,0,95.0
nuro 解約,0,7,0,97.6
nuro 解約 金,0,1,0,83.0
nuro光 2ギガ マンション 評判,0,1,0,92.0
nuro光 for マンション,0,1,0,93.0
