keyword,article_type,priority
auでんき セット割,crosssell,1
楽天でんき 楽天モバイル,crosssell,2
auでんき 料金 比較,crosssell,3
楽天でんき 料金,crosssell,4
引越し 通信 おすすめ,crosssell,5
引越し 光回線 電気 セット,crosssell,6
新生活 通信 固定費,crosssell,7
通信費 固定費 見直し,crosssell,8
スマホ 電気 まとめて お得,crosssell,9
auスマートバリュー でんき,crosssell,10
ソフトバンク でんき,crosssell,11
光回線 電気 セット割,crosssell,12
楽天経済圏 固定費 見直し,crosssell,13
au 通信 電気 セット,crosssell,14
引越し インターネット 電気,crosssell,15
固定費 通信 節約,crosssell,16
NURO光 楽天でんき,crosssell,17
ドコモ 電気 セット,crosssell,18
povo 固定費 見直し,crosssell,19
ahamo セット割 光回線 確認,crosssell,20
WiMAX 光回線 乗り換え 固定費,crosssell,21
楽天モバイル 光回線 セット割 確認,crosssell,22
UQモバイル auでんき セット割,crosssell,23
IIJmio 光回線 固定費 見直し,crosssell,24
引越し 格安SIM 光回線 セット割,crosssell,25
LINEMO ソフトバンク光 セット割,crosssell,26
NURO 光 auでんき セット割,crosssell,27
格安SIM 光回線 固定費 節約,crosssell,28
